
江西IPTV6,#genre#

江西卫视,http://39.135.55.105:6610/PLTV/88888888/224/3221225834/index.m3u8?servicetype=1
江西都市,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225584/index.m3u8
江西经济,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226206/index.m3u8?fmt=ts2hls
江西影视,http://[2409:8087:3800:20:1000::802]:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225579/index.m3u8?fmt=ts2hls
江西公共,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225578/index.m3u8
江西少儿,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221226194/index.m3u8
江西新闻,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225615/index.m3u8
江西教育,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226197/index.m3u8?fmt=ts2hls
CCTV-7,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225499/index.m3u8
CCTV-2,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225500/index.m3u8
CCTV-10,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225496/index.m3u8
CCTV-12,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225495/index.m3u8
天津卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225485/index.m3u8
汽摩576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225506/index.m3u8
靓装576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225509/index.m3u8
上海卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225489/index.m3u8
江苏卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225488/index.m3u8
CCTV-1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225501/index.m3u8
湖南卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225490/index.m3u8
山东卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225484/index.m3u8
CCTV-14,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225494/index.m3u8
江西卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225492/index.m3u8
浙江卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225491/index.m3u8
四川卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225487/index.m3u8
贵州卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225483/index.m3u8
武术世界,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225508/index.m3u8
吉林卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225553/index.m3u8
湖北卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225550/index.m3u8
兵团卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225530/index.m3u8
新疆卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225534/index.m3u8
内蒙古卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225533/index.m3u8
甘肃卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225536/index.m3u8
海南卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225548/index.m3u8
河北卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225544/index.m3u8
贵州卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225537/index.m3u8
北京卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225543/index.m3u8
东方卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225552/index.m3u8
青海卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225546/index.m3u8
宁夏卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225535/index.m3u8
河南卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225545/index.m3u8
安徽卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225541/index.m3u8
山西卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225549/index.m3u8
山东卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225539/index.m3u8
重庆卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225540/index.m3u8
辽宁卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225547/index.m3u8
陕西卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225531/index.m3u8
黑龙江卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225542/index.m3u8
云南卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225538/index.m3u8
金鹰卡通576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225554/index.m3u8
四川卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225532/index.m3u8
浙江卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225557/index.m3u8
深圳卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225559/index.m3u8
CETV1576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225563/index.m3u8
湖南卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225555/index.m3u8
东方卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225561/index.m3u8
哈哈炫动576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225560/index.m3u8
广东卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225558/index.m3u8
西藏卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225562/index.m3u8
天津卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225556/index.m3u8
江西都市,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225584/index.m3u8
江西卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225583/index.m3u8
江西公共农业,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225578/index.m3u8
江苏卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225582/index.m3u8
深圳卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225598/index.m3u8
辽宁卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225601/index.m3u8
黑龙江卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225586/index.m3u8
梨园频道,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225581/index.m3u8
金鹰纪实,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225595/index.m3u8
湖北卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225596/index.m3u8
北京卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225600/index.m3u8
广东卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225597/index.m3u8
东南卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225585/index.m3u8
CCTV-11,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225628/index.m3u8
CCTV-13,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225638/index.m3u8
CCTV-1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225642/index.m3u8
CCTV-14,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225640/index.m3u8
CCTV-1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225618/index.m3u8
